StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,device_use,Q1,Q1_6_TEXT,Q2,Q2_4_TEXT,Q3,Q3_5_TEXT,Q4,Q4_2_TEXT,Q5,Q5_5_TEXT,Q6,Q7,Q7_4_TEXT,Q8,Q8_4_TEXT,Q183,Q9,Q9_5_TEXT,Q184,Q184_4_TEXT,Q10,Q10_5_TEXT,Q11,Q11_4_TEXT,Q12,Q12_4_TEXT,Q13,Q13_3_TEXT,Q20,1_Q1,1_Q1_6_TEXT,1_Q2,1_Q2_4_TEXT,1_Q3,1_Q3_5_TEXT,1_Q4,1_Q4_2_TEXT,1_Q5,1_Q5_35_TEXT,1_Q6,1_Q7,1_Q7_4_TEXT,1_Q8,1_Q8_4_TEXT,1_Q186,1_Q186_4_TEXT,1_Q9,1_Q9_5_TEXT,1_Q10,1_Q10_5_TEXT,1_Q11,1_Q11_4_TEXT,1_Q185,1_Q185_5_TEXT,1_Q12,1_Q12_4_TEXT,1_Q13,1_Q13_3_TEXT,2_Q1,2_Q1_6_TEXT,2_Q2,2_Q2_4_TEXT,2_Q3,2_Q3_5_TEXT,2_Q4,2_Q4_2_TEXT,2_Q5,2_Q5_35_TEXT,2_Q6,2_Q7,2_Q7_4_TEXT,2_Q8,2_Q8_4_TEXT,2_Q186,2_Q186_4_TEXT,2_Q9,2_Q9_5_TEXT,2_Q10,2_Q10_5_TEXT,2_Q11,2_Q11_4_TEXT,2_Q185,2_Q185_5_TEXT,2_Q12,2_Q12_4_TEXT,2_Q13,2_Q13_3_TEXT,3_Q1,3_Q1_6_TEXT,3_Q2,3_Q2_4_TEXT,3_Q3,3_Q3_5_TEXT,3_Q4,3_Q4_2_TEXT,3_Q5,3_Q5_35_TEXT,3_Q6,3_Q7,3_Q7_4_TEXT,3_Q8,3_Q8_4_TEXT,3_Q186,3_Q186_4_TEXT,3_Q9,3_Q9_5_TEXT,3_Q10,3_Q10_5_TEXT,3_Q11,3_Q11_4_TEXT,3_Q185,3_Q185_5_TEXT,3_Q12,3_Q12_4_TEXT,3_Q13,3_Q13_3_TEXT,4_Q1,4_Q1_6_TEXT,4_Q2,4_Q2_4_TEXT,4_Q3,4_Q3_5_TEXT,4_Q4,4_Q4_2_TEXT,4_Q5,4_Q5_35_TEXT,4_Q6,4_Q7,4_Q7_4_TEXT,4_Q8,4_Q8_4_TEXT,4_Q186,4_Q186_4_TEXT,4_Q9,4_Q9_5_TEXT,4_Q10,4_Q10_5_TEXT,4_Q11,4_Q11_4_TEXT,4_Q185,4_Q185_5_TEXT,4_Q12,4_Q12_4_TEXT,4_Q13,4_Q13_3_TEXT,5_Q1,5_Q1_6_TEXT,5_Q2,5_Q2_4_TEXT,5_Q3,5_Q3_5_TEXT,5_Q4,5_Q4_2_TEXT,5_Q5,5_Q5_35_TEXT,5_Q6,5_Q7,5_Q7_4_TEXT,5_Q8,5_Q8_4_TEXT,5_Q186,5_Q186_4_TEXT,5_Q9,5_Q9_5_TEXT,5_Q10,5_Q10_5_TEXT,5_Q11,5_Q11_4_TEXT,5_Q185,5_Q185_5_TEXT,5_Q12,5_Q12_4_TEXT,5_Q13,5_Q13_3_TEXT,6_Q1,6_Q1_6_TEXT,6_Q2,6_Q2_4_TEXT,6_Q3,6_Q3_5_TEXT,6_Q4,6_Q4_2_TEXT,6_Q5,6_Q5_35_TEXT,6_Q6,6_Q7,6_Q7_4_TEXT,6_Q8,6_Q8_4_TEXT,6_Q186,6_Q186_4_TEXT,6_Q9,6_Q9_5_TEXT,6_Q10,6_Q10_5_TEXT,6_Q11,6_Q11_4_TEXT,6_Q185,6_Q185_5_TEXT,6_Q12,6_Q12_4_TEXT,6_Q13,6_Q13_3_TEXT,Q37,Q38,Q39,Q40,Q41,Q41_7_TEXT,Q42,Random_ID,scenario
10/29/18 9:37,10/29/18 9:37,0,65.30.213.178,100,22,1,10/29/18 9:37,R_VOyoaUUWb3noggN,,,,,42.98219299,-88.09459686,anonymous,EN,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32700,
10/29/18 9:31,10/29/18 9:38,0,71.46.242.92,100,443,1,10/29/18 9:38,R_308YF4lo3qLoPcx,,,,,28.55589294,-81.35350037,anonymous,EN,"1,2,3,4",4,,2,,3,,1,,4,,2,3,,3,,2,3,,1,,3,,"1,2",,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12425,
10/29/18 9:37,10/29/18 9:40,0,184.91.48.41,100,135,1,10/29/18 9:40,R_2U9qtjmZrE9mTgS,,,,,29.23530579,-81.06580353,anonymous,EN,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82720,
10/29/18 9:34,10/29/18 9:41,0,100.35.97.44,100,430,1,10/29/18 9:41,R_3kNVZY4VFMxOkOA,,,,,40.74450684,-74.15080261,anonymous,EN,"1,2,3,4,5,6","2,4,5",,1,,"2,3",,3,,1,,1,1,,5,,1,"1,2,3",,"1,2",,"2,3",,"1,2",,5,,4,,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,"2,3",,3,,1,,4,5,,"1,2",,"1,2",,3,,"2,3",,"1,2",,"2,3",,5,,4,,"2,5",,1,,"2,3",,1,,1,,1,5,,5,,5,,3,,3,,"1,2",,3,,"2,3",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,34,engineer,3,3,,3,16162,
10/29/18 9:41,10/29/18 9:43,0,173.131.222.70,100,126,1,10/29/18 9:43,R_2wMi3PuUV2ky5DG,,,,,33.46650696,-111.9983978,anonymous,EN,"1,3,4",2,,"1,2,3",,1,,1,,1,,2,"2,3",,1,,2,"2,3",,2,,3,,3,,"2,3",,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36057,
10/29/18 9:40,10/29/18 9:44,0,108.50.152.186,100,242,1,10/29/18 9:44,R_xg89np6GMfJPdwl,,,,,40.94769287,-74.06719971,anonymous,EN,"1,2,3,4,6","2,5",,"1,3",,"2,3",,1,,1,,1,"1,2,3",,1,,"1,2",2,,"1,2",,1,,2,,"1,3",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593,
10/29/18 9:45,10/29/18 9:47,0,169.2.67.17,100,128,1,10/29/18 9:47,R_Z2b1oYUNPLEPU53,,,,,38.60719299,-121.2761002,anonymous,EN,"1,2,3,4,5","2,4",,"2,3",,"1,2,3",,1,,"1,2,3",,"2,3","2,3",,"1,2",,"2,3","1,2,3",,"1,2",,"2,3,4",,"1,2",,"1,2",,"1,2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,4",,"1,3",,"2,3",,1,,"2,3",,"2,3","1,2",,"2,3",,"2,3",,"2,3",,"1,2,4",,"1,2",,"2,3",,1,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69645,
10/29/18 9:39,10/29/18 9:48,0,76.27.28.176,100,516,1,10/29/18 9:48,R_3R4aOYNELxEwWjB,,,,,40.65310669,-111.9673996,anonymous,EN,"2,3,4","1,2,3,4,5",,"1,2,3",,"1,2,3,4",,1,,"1,3",,"1,2","1,2,3",,"1,3",,"1,2","1,2,3,4",,"1,2,3",,"1,2,3,4,6",,"1,2",,"1,2,3",,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,
10/29/18 9:41,10/29/18 9:48,0,100.35.97.44,100,406,1,10/29/18 9:48,R_1KoIoX69d5mHd8g,,,,,40.74450684,-74.15080261,anonymous,EN,"1,2,3,4,5,6","1,2,5",,"1,2",,"1,3",,1,,2,,1,5,,"2,3",,1,"3,4",,"1,2,3",,"2,3",,"1,2,3",,"1,3",,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,"2,4",,1,,3,,"1,3",3,,1,,1,,4,,"2,4",,3,,"2,4",,"1,2",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,34,home maker,2,2,,2,83215,
10/29/18 9:46,10/29/18 9:48,0,199.87.130.129,100,123,1,10/29/18 9:48,R_3NKxVFoIz6hDtsv,,,,,37.49549866,-77.47100067,anonymous,EN,"1,2,3,4,5,6",7,,"1,2,3",,"1,2",,1,,"1,3",,2,3,,"1,2",,4,6,,2,,3,,5,,"2,3",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6128,
10/29/18 9:51,10/29/18 9:56,0,158.106.216.110,100,271,1,10/29/18 9:56,R_4UhZqNtVXhl3DLb,,,,,41.04989624,-73.77760315,anonymous,EN,"1,2,3,4",2,,1,,"1,2",,1,,1,,2,3,,5,,2,3,,"2,3",,"3,6",,"2,3",,3,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,"1,3",,1,,1,,2,3,,3,,3,,3,,3,,2,,3,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,37,purchasing agent,5,1,,3,2167,
10/29/18 9:56,10/29/18 9:57,0,108.7.61.222,100,35,1,10/29/18 9:57,R_12JzZhEWIPahBOS,,,,,42.02119446,-71.21779633,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62640,
10/29/18 9:52,10/29/18 9:58,0,100.35.97.44,100,356,1,10/29/18 9:58,R_3spIx3fXnKQC4wS,,,,,40.74450684,-74.15080261,anonymous,EN,"1,2,3,4,5,6",2,,5,,"2,3",,3,,1,,2,1,,5,,2,"2,3",,2,,3,,2,,2,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4,5",,5,,3,,3,,1,,1,5,,5,,5,,3,,3,,2,,3,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,34,home maker,3,2,,2,31956,
10/29/18 9:57,10/29/18 9:58,0,108.7.61.222,100,73,1,10/29/18 9:58,R_DvDV5pTSi0QoicN,,,,,42.02119446,-71.21779633,anonymous,EN,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9004,
10/29/18 9:59,10/29/18 9:59,0,208.180.203.34,100,31,1,10/29/18 9:59,R_eIGU3HOq00AcERb,,,,,31.22320557,-92.32029724,anonymous,EN,"1,2,3,4,5,6",4,,3,,"1,3",,1,,6,,3,3,,3,,2,2,,3,,3,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82748,
10/29/18 10:00,10/29/18 10:01,0,64.22.228.164,100,55,1,10/29/18 10:01,R_ODpcqEt4uOquotb,,,,,37.21530151,-93.29820251,anonymous,EN,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47343,
10/29/18 9:58,10/29/18 10:05,0,100.35.97.44,100,432,1,10/29/18 10:05,R_3HYO72cYve7rD0n,,,,,40.74450684,-74.15080261,anonymous,EN,"1,2,3,4,5,6",2,,1,,"2,3",,3,,1,,1,5,,2,,1,"2,3",,"1,2",,3,,"1,2",,3,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,1,,1,,1,5,,5,,5,,3,,3,,2,,3,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,34,home maker,2,3,,2,20378,
