,features,Importance,scen_feat,main_features,Affordance_Question,Affordance_Answer,scen_Question,scen_Answer
10,location_1:Desktop_Computer_Q7_feat5,96.61702127659576,location_1,Desktop_Computer_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop_Computer?,Building trust is not essential for using this device for this task or is not provided by the device ,Scenario location,Home
11,location_1:Desktop_Computer_Q13_feat1,91.53191489361704,location_1,Desktop_Computer_Q13_feat1,Which of the additional artifacts do you connect/download on your Desktop_Computer to execute the task,"Physical hardware (e.g., keyboard, screen, headphones, speakers)  ",Scenario location,Home
12,location_1:Desktop_Computer_Q6_feat1,86.44680851063829,location_1,Desktop_Computer_Q6_feat1,When does your Desktop_Computer give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task,Scenario location,Home
15,location_1:Desktop_Computer_Q12_feat5,76.27659574468086,location_1,Desktop_Computer_Q12_feat5,Which of these maintenance features in Desktop_Computer affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  ,Scenario location,Home
118,Relationship_3:Desktop_Computer_Q11_feat2,76.27659574468086,Relationship_3,Desktop_Computer_Q11_feat2,Which of the following design components on your Desktop_Computer help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario relation,weak ties
113,Relationship_3:Desktop_Computer_Q10_feat3,76.27659574468086,Relationship_3,Desktop_Computer_Q10_feat3,How does Desktop_Computer provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario relation,weak ties
14,location_1:Desktop_Computer_Q2_feat1,76.27659574468086,location_1,Desktop_Computer_Q2_feat1,"How do you multitask (i.e.,use other functionalities) on Desktop_Computer while executing this task?",I use/view another application using touch-based input,Scenario location,Home
13,location_1:Desktop_Computer_Q13_feat4,76.27659574468086,location_1,Desktop_Computer_Q13_feat4,Which of the additional artifacts do you connect/download on your Desktop_Computer,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  ,Scenario location,Home
114,Relationship_3:Desktop_Computer_Q5_feat1,71.19148936170214,Relationship_3,Desktop_Computer_Q5_feat1,What level of accuracy does your Desktop_Computer provide when executing the task?,It executes the task without any errors   ,Scenario relation,weak ties
116,Relationship_3:Desktop_Computer_Q9_feat3,71.19148936170214,Relationship_3,Desktop_Computer_Q9_feat3,How does your Desktop_Computer help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,Scenario relation,weak ties
16,location_1:Desktop_Computer_Q10_feat2,71.19148936170214,location_1,Desktop_Computer_Q10_feat2,How does Desktop_Computer provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,Scenario location,Home
226,Relationship_1:Desktop_Computer_Q5_feat1,66.1063829787234,Relationship_1,Desktop_Computer_Q5_feat1,What level of accuracy does your Desktop_Computer provide when executing the task?,It executes the task without any errors   ,Scenario relation,alone
225,Relationship_1:Desktop_Computer_Q10_feat3,66.1063829787234,Relationship_1,Desktop_Computer_Q10_feat3,How does Desktop_Computer provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario relation,alone
18,location_1:Desktop_Computer_Q9_feat2,66.1063829787234,location_1,Desktop_Computer_Q9_feat2,How does your Desktop_Computerhelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them,Scenario location,Home
224,Relationship_1:Desktop_Computer_Q4_feat3,66.1063829787234,Relationship_1,Desktop_Computer_Q4_feat3,Which aspects of mobility does Desktop_Computer  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,Scenario relation,alone
17,location_1:Desktop_Computer_Q12_feat3,66.1063829787234,location_1,Desktop_Computer_Q12_feat3,Which of these maintenance features in Desktop_Computer affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. ,Scenario location,Home
112,Relationship_3:Desktop_Computer_Q4_feat3,66.1063829787234,Relationship_3,Desktop_Computer_Q4_feat3,Which aspects of mobility does Desktop_Computer  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,Scenario relation,weak ties
115,Relationship_3:Desktop_Computer_Q1_feat4,61.02127659574469,Relationship_3,Desktop_Computer_Q1_feat4,Which of the following type of interactions do you use while executing a command on Desktop_Computer?,Text-based interaction using physical keyboard  ,Scenario relation,weak ties
229,Relationship_1:Desktop_Computer_Q3_feat3,61.02127659574469,Relationship_1,Desktop_Computer_Q3_feat3,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,Scenario relation,alone
228,Relationship_1:Desktop_Computer_Q9_feat3,61.02127659574469,Relationship_1,Desktop_Computer_Q9_feat3,How does your Desktop_Computer help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,Scenario relation,alone
227,Relationship_1:Desktop_Computer_Q1_feat4,61.02127659574469,Relationship_1,Desktop_Computer_Q1_feat4,Which of the following type of interactions do you use while executing a command on Desktop_Computer?,Text-based interaction using physical keyboard  ,Scenario relation,alone
337,Relationship_2:Desktop_Computer_Q10_feat3,61.02127659574469,Relationship_2,Desktop_Computer_Q10_feat3,How does Desktop_Computer provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario relation,strong ties
19,location_1:Desktop_Computer_Q9_feat1,61.02127659574469,location_1,Desktop_Computer_Q9_feat1,How does your Desktop_Computer help you understand the features that you use to perform this task,Through a tooltip that explains the functionality of a widget on the device.,Scenario location,Home
117,Relationship_3:Desktop_Computer_Q3_feat3,61.02127659574469,Relationship_3,Desktop_Computer_Q3_feat3,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,Scenario relation,weak ties
20,location_1:Desktop_Computer_Q2_feat5,61.02127659574469,location_1,Desktop_Computer_Q2_feat5,"How do you multitask (i.e.,use other functionalities) on Desktop_Computer while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  ,Scenario location,Home
21,location_1:Desktop_Computer_Q8_feat2,55.93617021276598,location_1,Desktop_Computer_Q8_feat2,What level of personalized communication does your Desktop_Computer provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  ",Scenario location,Home
22,location_1:Desktop_Computer_Q1_feat2,55.93617021276598,location_1,Desktop_Computer_Q1_feat2,Which of the following type of interactions do you use while executing a command on Desktop_Computer,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario location,Home
338,Relationship_2:Desktop_Computer_Q5_feat1,55.93617021276598,Relationship_2,Desktop_Computer_Q5_feat1,What level of accuracy does your Desktop_Computer provide when executing the task?,It executes the task without any errors   ,Scenario relation,strong ties
345,Relationship_2:Desktop_Computer_Q11_feat1,55.93617021276598,Relationship_2,Desktop_Computer_Q11_feat1,Which of the following design components on your Desktop_Computer help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    ",Scenario relation,strong ties
119,Relationship_3:Desktop_Computer_Q3_feat2,55.93617021276598,Relationship_3,Desktop_Computer_Q3_feat2,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,Scenario relation,weak ties
24,location_1:Desktop_Computer_Q13_feat2,55.93617021276598,location_1,Desktop_Computer_Q13_feat2,Which of the additional artifacts do you connect/download on your Desktop_Computer,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  ",Scenario location,Home
23,location_1:Desktop_Computer_Q3_feat1,55.93617021276598,location_1,Desktop_Computer_Q3_feat1,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.,Scenario location,Home
230,Relationship_1:Desktop_Computer_Q11_feat2,55.93617021276598,Relationship_1,Desktop_Computer_Q11_feat2,Which of the following design components on your Desktop_Computer help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario relation,alone
25,location_1:Q4_feat3,52.92326616046362,location_1,Q4_feat3,What aspects of mobility do you expect to have for performing this task?,Mobility of the device does not matter to me in this task,Scenario location,Home
340,Relationship_2:Desktop_Computer_Q9_feat3,50.85106382978724,Relationship_2,Desktop_Computer_Q9_feat3,How does your Desktop_Computer help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,Scenario relation,strong ties
120,Relationship_3:Desktop_Computer_Q8_feat5,50.85106382978724,Relationship_3,Desktop_Computer_Q8_feat5,What level of personalized communication does your Desktop_Computer provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,Scenario relation,weak ties
27,location_1:Desktop_Computer_Q12_feat1,50.85106382978724,location_1,Desktop_Computer_Q12_feat1,Which of these maintenance features in Desktop_Computer affect you as you perform this task on it?,Amount of battery life and impact of performing the task on battery life   ,Scenario location,Home
26,location_1:Desktop_Computer_Q7_feat3,50.85106382978724,location_1,Desktop_Computer_Q7_feat3,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop_Computer?,I enables me to control how it executes this task  ,Scenario location,Home
231,Relationship_1:Desktop_Computer_Q3_feat2,50.85106382978724,Relationship_1,Desktop_Computer_Q3_feat2,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,Scenario relation,alone
126,Relationship_3:Desktop_Computer_Q2_feat1,45.76595744680851,Relationship_3,Desktop_Computer_Q2_feat1,"How do you multitask (i.e.,use other functionalities) on Desktop_Computer while executing this task?",I use/view another application using touch-based input,Scenario relation,weak ties
236,Relationship_1:Desktop_Computer_Q6_feat1,45.76595744680851,Relationship_1,Desktop_Computer_Q6_feat1,When does your Desktop_Computer give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task,Scenario relation,alone
348,Relationship_2:Desktop_Computer_Q6_feat1,45.76595744680851,Relationship_2,Desktop_Computer_Q6_feat1,When does your Desktop_Computer give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task,Scenario relation,strong ties
235,Relationship_1:Desktop_Computer_Q13_feat1,45.76595744680851,Relationship_1,Desktop_Computer_Q13_feat1,Which of the additional artifacts do you connect/download on your Desktop_Computer to execute the task,"Physical hardware (e.g., keyboard, screen, headphones, speakers)  ",Scenario relation,alone
246,Relationship_1:Desktop_Computer_Q1_feat2,45.76595744680851,Relationship_1,Desktop_Computer_Q1_feat2,Which of the following type of interactions do you use while executing a command on Desktop_Computer,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario relation,alone
339,Relationship_2:Desktop_Computer_Q1_feat4,45.76595744680851,Relationship_2,Desktop_Computer_Q1_feat4,Which of the following type of interactions do you use while executing a command on Desktop_Computer?,Text-based interaction using physical keyboard  ,Scenario relation,strong ties
28,location_1:Desktop_Computer_Q6_feat3,45.76595744680851,location_1,Desktop_Computer_Q6_feat3,When does your Desktop_Computer give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.,Scenario location,Home
341,Relationship_2:Desktop_Computer_Q3_feat3,45.76595744680851,Relationship_2,Desktop_Computer_Q3_feat3,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,Scenario relation,strong ties
29,location_1:Desktop_Computer_Q2_feat3,45.76595744680851,location_1,Desktop_Computer_Q2_feat3,"How do you multitask (i.e.,use other functionalities) on Desktop_Computer while executing this task?","The modality of input (text- or voice-based) does not matter, as I am able to use another application simultaneously  ",Scenario location,Home
234,Relationship_1:Desktop_Computer_Q7_feat5,45.76595744680851,Relationship_1,Desktop_Computer_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop_Computer?,Building trust is not essential for using this device for this task or is not provided by the device ,Scenario relation,alone
30,location_1:Q5_feat1,43.70164947666951,location_1,Q5_feat1,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,It should be able to execute the task without any errors   ,Scenario location,Home
31,location_1:Q10_feat3,43.42759938401114,location_1,Q10_feat3,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through text notifications/responses on screen of any of the devices,Scenario location,Home
32,location_1:Q11_feat2,40.716515646146604,location_1,Q11_feat2,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Icons, buttons and other tools should be designed in such a way that I can easily understand their purpose and how to use them",Scenario location,Home
232,Relationship_1:Desktop_Computer_Q8_feat5,40.68085106382979,Relationship_1,Desktop_Computer_Q8_feat5,What level of personalized communication does your Desktop_Computer provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,Scenario relation,alone
357,Relationship_2:Desktop_Computer_Q8_feat2,40.68085106382979,Relationship_2,Desktop_Computer_Q8_feat2,What level of personalized communication does your Desktop_Computer provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  ",Scenario relation,strong ties
342,Relationship_2:Desktop_Computer_Q11_feat2,40.68085106382979,Relationship_2,Desktop_Computer_Q11_feat2,Which of the following design components on your Desktop_Computer help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario relation,strong ties
123,Relationship_3:Desktop_Computer_Q13_feat1,40.68085106382979,Relationship_3,Desktop_Computer_Q13_feat1,Which of the additional artifacts do you connect/download on your Desktop_Computer to execute the task,"Physical hardware (e.g., keyboard, screen, headphones, speakers)  ",Scenario relation,weak ties
127,Relationship_3:Desktop_Computer_Q12_feat5,40.68085106382979,Relationship_3,Desktop_Computer_Q12_feat5,Which of these maintenance features in Desktop_Computer affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  ,Scenario relation,weak ties
121,Relationship_3:Desktop_Computer_Q11_feat1,40.68085106382979,Relationship_3,Desktop_Computer_Q11_feat1,Which of the following design components on your Desktop_Computer help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    ",Scenario relation,weak ties
336,Relationship_2:Desktop_Computer_Q4_feat3,40.68085106382979,Relationship_2,Desktop_Computer_Q4_feat3,Which aspects of mobility does Desktop_Computer  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,Scenario relation,strong ties
33,location_1:Q1_feat4,38.586515920353726,location_1,Q1_feat4,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using physical keyboard ,Scenario location,Home
34,location_1:Q3_feat3,38.57177403230821,location_1,Q3_feat3,Which aspects of any of the device(s) would make it easier for you to use them for this task?,"The device(s) should be able to display any task related information (e.g, response) on a screen  ",Scenario location,Home
35,location_1:Q9_feat1,38.13176186958792,location_1,Q9_feat1,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A tooltip that explains the functionality of a widget on the device  ,Scenario location,Home
36,location_1:Q8_feat5,37.88808866731951,location_1,Q8_feat5,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Personalization or customizability  is not essential for me performing this task on any device,Scenario location,Home
37,location_1:Q3_feat2,37.25893464819958,location_1,Q3_feat2,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.,Scenario location,Home
38,location_1:Q11_feat1,35.653289415116184,location_1,Q11_feat1,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Presentation of information is in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used )  ",Scenario location,Home
241,Relationship_1:Desktop_Computer_Q12_feat3,35.59574468085107,Relationship_1,Desktop_Computer_Q12_feat3,Which of these maintenance features in Desktop_Computer affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. ,Scenario relation,alone
248,Relationship_1:Desktop_Computer_Q13_feat2,35.59574468085107,Relationship_1,Desktop_Computer_Q13_feat2,Which of the additional artifacts do you connect/download on your Desktop_Computer,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  ",Scenario relation,alone
251,Relationship_1:Desktop_Computer_Q12_feat1,35.59574468085107,Relationship_1,Desktop_Computer_Q12_feat1,Which of these maintenance features in Desktop_Computer affect you as you perform this task on it?,Amount of battery life and impact of performing the task on battery life   ,Scenario relation,alone
343,Relationship_2:Desktop_Computer_Q3_feat2,35.59574468085107,Relationship_2,Desktop_Computer_Q3_feat2,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,Scenario relation,strong ties
39,location_1:Desktop_Computer_Q6_feat4,35.59574468085107,location_1,Desktop_Computer_Q6_feat4,When does your Desktop_Computer give you an option of providing or changing any task related information to perform this task?,Having such options from the device while performing are not essential to me while using this device or is not provided by the device.  ,Scenario location,Home
122,Relationship_3:Desktop_Computer_Q7_feat5,35.59574468085107,Relationship_3,Desktop_Computer_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop_Computer?,Building trust is not essential for using this device for this task or is not provided by the device ,Scenario relation,weak ties
131,Relationship_3:Desktop_Computer_Q9_feat1,35.59574468085107,Relationship_3,Desktop_Computer_Q9_feat1,How does your Desktop_Computer help you understand the features that you use to perform this task,Through a tooltip that explains the functionality of a widget on the device.,Scenario relation,weak ties
130,Relationship_3:Desktop_Computer_Q9_feat2,35.59574468085107,Relationship_3,Desktop_Computer_Q9_feat2,How does your Desktop_Computerhelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them,Scenario relation,weak ties
128,Relationship_3:Desktop_Computer_Q10_feat2,35.59574468085107,Relationship_3,Desktop_Computer_Q10_feat2,How does Desktop_Computer provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,Scenario relation,weak ties
125,Relationship_3:Desktop_Computer_Q13_feat4,35.59574468085107,Relationship_3,Desktop_Computer_Q13_feat4,Which of the additional artifacts do you connect/download on your Desktop_Computer,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  ,Scenario relation,weak ties
151,Relationship_3:Desktop_Computer_Q6_feat4,30.510638297872344,Relationship_3,Desktop_Computer_Q6_feat4,When does your Desktop_Computer give you an option of providing or changing any task related information to perform this task?,Having such options from the device while performing are not essential to me while using this device or is not provided by the device.  ,Scenario relation,weak ties
349,Relationship_2:Desktop_Computer_Q13_feat4,30.510638297872344,Relationship_2,Desktop_Computer_Q13_feat4,Which of the additional artifacts do you connect/download on your Desktop_Computer,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  ,Scenario relation,strong ties
365,Relationship_2:Desktop_Computer_Q2_feat3,30.510638297872344,Relationship_2,Desktop_Computer_Q2_feat3,"How do you multitask (i.e.,use other functionalities) on Desktop_Computer while executing this task?","The modality of input (text- or voice-based) does not matter, as I am able to use another application simultaneously  ",Scenario relation,strong ties
347,Relationship_2:Desktop_Computer_Q13_feat1,30.510638297872344,Relationship_2,Desktop_Computer_Q13_feat1,Which of the additional artifacts do you connect/download on your Desktop_Computer to execute the task,"Physical hardware (e.g., keyboard, screen, headphones, speakers)  ",Scenario relation,strong ties
359,Relationship_2:Desktop_Computer_Q3_feat1,30.510638297872344,Relationship_2,Desktop_Computer_Q3_feat1,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.,Scenario relation,strong ties
138,Relationship_3:Desktop_Computer_Q7_feat3,30.510638297872344,Relationship_3,Desktop_Computer_Q7_feat3,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop_Computer?,I enables me to control how it executes this task  ,Scenario relation,weak ties
351,Relationship_2:Desktop_Computer_Q12_feat5,30.510638297872344,Relationship_2,Desktop_Computer_Q12_feat5,Which of these maintenance features in Desktop_Computer affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  ,Scenario relation,strong ties
135,Relationship_3:Desktop_Computer_Q3_feat1,30.510638297872344,Relationship_3,Desktop_Computer_Q3_feat1,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.,Scenario relation,weak ties
364,Relationship_2:Desktop_Computer_Q6_feat3,30.510638297872344,Relationship_2,Desktop_Computer_Q6_feat3,When does your Desktop_Computer give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.,Scenario relation,strong ties
124,Relationship_3:Desktop_Computer_Q6_feat1,30.510638297872344,Relationship_3,Desktop_Computer_Q6_feat1,When does your Desktop_Computer give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task,Scenario relation,weak ties
376,Relationship_2:Desktop_Computer_Q4_feat1,30.510638297872344,Relationship_2,Desktop_Computer_Q4_feat1,Which aspects of mobility does Desktop_Computer  provide as you perform this task?,I can move around while performing the task   ,Scenario relation,strong ties
242,Relationship_1:Desktop_Computer_Q9_feat2,30.510638297872344,Relationship_1,Desktop_Computer_Q9_feat2,How does your Desktop_Computerhelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them,Scenario relation,alone
240,Relationship_1:Desktop_Computer_Q10_feat2,30.510638297872344,Relationship_1,Desktop_Computer_Q10_feat2,How does Desktop_Computer provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,Scenario relation,alone
238,Relationship_1:Desktop_Computer_Q2_feat1,30.510638297872344,Relationship_1,Desktop_Computer_Q2_feat1,"How do you multitask (i.e.,use other functionalities) on Desktop_Computer while executing this task?",I use/view another application using touch-based input,Scenario relation,alone
233,Relationship_1:Desktop_Computer_Q11_feat1,30.510638297872344,Relationship_1,Desktop_Computer_Q11_feat1,Which of the following design components on your Desktop_Computer help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    ",Scenario relation,alone
41,location_1:Q9_feat3,29.83090892904834,location_1,Q9_feat3,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   ,Scenario location,Home
42,location_1:Q7_feat5,26.984420902697412,location_1,Q7_feat5,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,Building trust is not essential for me while performing this task on any device  ,Scenario location,Home
43,location_1:Q12_feat5,26.70495903837343,location_1,Q12_feat5,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,vThe maintenance features do not matter to me  for this task.,Scenario location,Home
136,Relationship_3:Desktop_Computer_Q13_feat2,25.425531914893615,Relationship_3,Desktop_Computer_Q13_feat2,Which of the additional artifacts do you connect/download on your Desktop_Computer,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  ",Scenario relation,weak ties
561,location_3:Desktop_Computer_Q10_feat3,25.425531914893615,location_3,Desktop_Computer_Q10_feat3,How does Desktop_Computer provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario location,"Public (park, street etc)"
380,Relationship_2:Desktop_Computer_Q7_feat1,25.425531914893615,Relationship_2,Desktop_Computer_Q7_feat1,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop_Computer?,It enables me to define who has access to my information,Scenario relation,strong ties
132,Relationship_3:Desktop_Computer_Q2_feat5,25.425531914893615,Relationship_3,Desktop_Computer_Q2_feat5,"How do you multitask (i.e.,use other functionalities) on Desktop_Computer while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  ,Scenario relation,weak ties
133,Relationship_3:Desktop_Computer_Q8_feat2,25.425531914893615,Relationship_3,Desktop_Computer_Q8_feat2,What level of personalized communication does your Desktop_Computer provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  ",Scenario relation,weak ties
46,location_1:Desktop_Computer_Q7_feat2,25.425531914893615,location_1,Desktop_Computer_Q7_feat2,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop_Computer?,"It enables me to control where my personal information is stored (e.g., solely on the device)",Scenario location,Home
245,Relationship_1:Desktop_Computer_Q8_feat2,25.425531914893615,Relationship_1,Desktop_Computer_Q8_feat2,What level of personalized communication does your Desktop_Computer provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  ",Scenario relation,alone
45,location_1:Desktop_Computer_Q6_feat2,25.425531914893615,location_1,Desktop_Computer_Q6_feat2,When does your Desktop_Computer give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.,Scenario location,Home
44,location_1:Desktop_Computer_Q7_feat1,25.425531914893615,location_1,Desktop_Computer_Q7_feat1,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop_Computer?,It enables me to define who has access to my information,Scenario location,Home
362,Relationship_2:Desktop_Computer_Q7_feat3,25.425531914893615,Relationship_2,Desktop_Computer_Q7_feat3,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop_Computer?,I enables me to control how it executes this task  ,Scenario relation,strong ties
237,Relationship_1:Desktop_Computer_Q13_feat4,25.425531914893615,Relationship_1,Desktop_Computer_Q13_feat4,Which of the additional artifacts do you connect/download on your Desktop_Computer,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  ,Scenario relation,alone
