,features,Importance,Question,Answer option
31,Smart Phone_Q2_feat3,0.006314489993870592,"How do you multitask (i.e.,use other functionalities) on Smart Phone while executing this task?","The modality of input (text- or voice-based) does not matter, as I am able to use another application simultaneously  "
32,Relationship_2,0.00575720395370624,Scenario relation,strong ties
33,Relationship_3,0.005674205854858385,Scenario relation,weak ties
34,Q2_feat1,0.005438550201456508,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through touch-based input   
35,Smart Phone_Q1_feat1,0.005363444017510333,Which of the following type of interactions do you use while executing a command on Smart Phone,Voice-based interaction  
36,Q8_feat3,0.005290567794069194,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Based on my current activities and surroundings device(s) should recommend  additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task) "
37,Smart Phone_Q11_feat1,0.005191495361976284,Which of the following design components on your Smart Phone help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    "
38,Q11_feat3,0.005071970117820839,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"In case of no screen, the device(s) should provide me needed information as voice-based instructions"
39,Q13_feat1,0.004858693099952677,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Physical hardware (e.g., keyboard, screen, headphones, speakers, storage space)  "
40,Q1_feat5,0.004802102088151504,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using virtual/digital keyboard on a screen 
41,Smart Phone_Q13_feat2,0.004778899293199296,Which of the additional artifacts do you connect/download on your Smart Phone,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  "
42,Q13_feat4,0.004723935866835552,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,The ability to connect/download an additional things does not matter to me  for this task.
43,Q10_feat2,0.00459876159574675,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through audio/voice based notifications/responses   
44,Q10_feat7,0.004482017294490851,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,The way in which a device provides feedback or responds to my actions does not matter to me  for this task
45,Q1_feat1,0.004480062980357835,Which of the following type of interactions would you like to use to perform this task?,Voice-based interaction  
46,Q6_feat1,0.0043808633572929466,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Only at the beginning for providing first set of commands or information  
47,Q6_feat2,0.0040945942252032545,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should prompt me for providing more information when instructions are unclear or missing.  
48,Q9_feat1,0.004004108973584325,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A tooltip that explains the functionality of a widget on the device  
49,Q7_feat1,0.003971139212920137,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,To be able to define who has access to my information  
50,Q4_feat3,0.0039659402306215456,What aspects of mobility do you expect to have for performing this task?,Mobility of the device does not matter to me in this task
51,Q9_feat6,0.003956110581833974,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,The level of assistance provided by a  device to help me understand its features while I am executing this task does not matter. 
52,Q4_feat1,0.003865162481014394,What aspects of mobility do you expect to have for performing this task? ,Being able to move around while performing the task   
53,location_3,0.00375313395986678,Scenario location,"Public (park, street etc)"
54,Q10_feat3,0.003675857901971264,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through text notifications/responses on screen of any of the devices
55,Q8_feat5,0.0033792819441485523,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Personalization or customizability  is not essential for me performing this task on any device
56,Q10_feat1,0.003262996930721266,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"Through lights, vibrations  "
57,Q1_feat7,0.003146163289466872,Which of the following type of interactions would you like to use to perform this task?,The input modality does not matter to me  
58,Q3_feat1,0.003050209087483648,Which aspects of any of the device(s) would make it easier for you to use them for this task?,It should be easy to find and understand the relevant features of the device(s) to complete the given task.  
59,Q2_feat2,0.002929185496633529,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through voice-based input 
60,Q10_feat4,0.0028092301759385448,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through notifications/reminders on other synced/connected device  
61,Q1_feat4,0.0027362267231773713,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using physical keyboard 
62,Q11_feat1,0.0027266631017300253,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Presentation of information is in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used )  "
63,Q1_feat2,0.002699842120083901,Which of the following type of interactions would you like to use to perform this task?,"Touch-based interaction (e.g, through scrolling, tapping)  "
64,location_1,0.002678374120951153,Scenario location,Home
65,Q12_feat1,0.002675073325449266,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?</,Amount of battery life and impact of performing the task on battery life   
66,Smart Phone_Q1_feat5,0.002670354263299929,Which of the following type of interactions do you use while executing a command on Smart Phone,Text-based interaction using virtual/digital keyboard on a screen  
67,Q7_feat3,0.0025758838245674666,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,I should be able to control how device executes a task  
68,Q12_feat3,0.0023270839963103612,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Ease of recovery of data and task related information in case of any hardware/software malfunction  
69,Q5_feat4,0.00226953166933542,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,"The device(s) can make some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command) "
70,Q3_feat4,0.0022136617922271246,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should be able to provide any task related information as an audio response. 
71,Q5_feat1,0.0021757757752769763,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,It should be able to execute the task without any errors   
72,Relationship_1,0.0018369181196434344,Scenario relation,alone
73,Q7_feat5,0.0018185962456013429,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,Building trust is not essential for me while performing this task on any device  
74,Q5_feat3,0.0017195031762340836,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,"The device(s) can make some errors, but it should try to correct itself by learning from my previous actions or more interactions with me.  "
75,Q1_feat3,0.001641440201811719,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction with a digital pen/Stylus  
76,Q8_feat2,0.0014637897587802078,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Customizability of features based on current context and past interactions (e.g., sorting notifications by relevance)   "
77,Q11_feat5,0.0014356619840918824,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,Design components in a device to help me develop an intuition of how to perform this task does not matter to me  
78,Q9_feat4,0.0013927102592066164,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A voice assistant that can help me in understanding how to use appropriate features to perform the task  
79,Q3_feat3,0.0013808941380320807,Which aspects of any of the device(s) would make it easier for you to use them for this task?,"The device(s) should be able to display any task related information (e.g, response) on a screen  "
80,Q2_feat5,0.0012524747935525524,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",I would not like to multitask while performing this tas
81,Q11_feat2,0.0012123367865664787,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Icons, buttons and other tools should be designed in such a way that I can easily understand their purpose and how to use them"
82,Q9_feat2,0.0010320645235772786,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,An interactive help/search menu that can answer my questions about the features of the device as I use them   
83,Q3_feat6,0.0008075598660516839,Which aspects of any of the device(s) would make it easier for you to use them for this task?,Ease of use does not hold any relevance for me with respect to this task  
84,Q5_feat2,0.0007537225416482383,";""> What level of accuracy do you expect any of the device(s) to achieve for executing this task?",The device(s) can make errors sometimes  
85,Smart Phone_Q3_feat2,0.0005359804740609695,Which  aspects of Smart Phone makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
86,Smart Phone_Q7_feat5,0.000502481694432159,Which of the following features help you in reaching the desired level of trust to perform this task on Smart Phone?,Building trust is not essential for using this device for this task or is not provided by the device 
87,Q6_feat4,0.0004470385270785921,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,When a device gives an option of providing or changing any task related information is not relevant while performing this task  
88,Smart Phone_Q6_feat2,0.0001339951185152423,When does your Smart Phone give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.
89,Q3_feat2,4.3888775449511024e-05,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.
90,Q5_feat6,0.0,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,Level of accuracy does not matter to me while performing this task  
91,Smart Phone_Q1_feat3,0.0,Which of the following type of interactions do you use while executing a command on Smart Phone,Text-based interaction with a digital pen/Stylus  
92,Smart Phone_Q1_feat4,0.0,Which of the following type of interactions do you use while executing a command on Smart Phone?,Text-based interaction using physical keyboard  
93,Smart Phone_Q1_feat7,0.0,Which of the following type of interactions do you use while executing a command on Smart Phone?,The input modality does not matter to me or is not provided by the device  
94,Smart Phone_Q2_feat2,0.0,"How do you multitask (i.e.,use other functionalities) on Smart Phone while executing this task?",I use/view another application using voice-based input 
95,Smart Phone_Q3_feat4,0.0,Which  aspects of Smart Phone makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  
96,Smart Phone_Q3_feat6,0.0,Which  aspects of Smart Phone makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  
97,Smart Phone_Q5_feat2,0.0,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,The device(s) can make errors sometimes  
98,Smart Phone_Q5_feat3,0.0,What level of accuracy does your Smart Phone provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
99,Smart Phone_Q5_feat4,0.0,What level of accuracy does your Smart Phone provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  "
100,Smart Phone_Q5_feat6,0.0,What level of accuracy does your Smart Phone provide when executing the task,Level of  accuracy does not matter to me while using this device for this task or is not provided by the device  
101,Smart Phone_Q6_feat1,0.0,When does your Smart Phone give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task
102,Smart Phone_Q6_feat3,0.0,When does your Smart Phone give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.
103,Smart Phone_Q7_feat1,0.0,Which of the following features help you in reaching the desired level of trust to perform this task on Smart Phone?,It enables me to define who has access to my information
104,Smart Phone_Q7_feat3,0.0,Which of the following features help you in reaching the desired level of trust to perform this task on Smart Phone?,I enables me to control how it executes this task  
105,Smart Phone_Q8_feat1,0.0,What level of personalized communication does your Smart Phone provide while performing this task?,The device communicates with me through informal/human-like responses or notifications
106,Smart Phone_Q8_feat3,0.0,What level of personalized communication does your Smart Phone provide while performing this task?,"Based on my current activities and surroundings it recommends additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task)"
107,Smart Phone_Q9_feat1,0.0,How does your Smart Phone help you understand the features that you use to perform this task,Through a tooltip that explains the functionality of a widget on the device.
108,Smart Phone_Q9_feat2,0.0,How does your Smart Phonehelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them
109,Smart Phone_Q9_feat3,0.0,How does your Smart Phone help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
110,Smart Phone_Q9_feat4,0.0,How does your Smart Phone help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task 
111,Smart Phone_Q10_feat1,0.0,How does Smart Phone provide feedback or respond to your actions as you execute the task,"Through lights, vibrations   "
112,Smart Phone_Q10_feat4,0.0,How does Smart Phone provide feedback or respond to your actions as you execute the task,Notifications/Reminders on other synced/connected devices  
113,Smart Phone_Q10_feat6,0.0,How does Smart Phone provide feedback or respond to your actions as you execute the task?,"As the feedback provided by my device is unambiguous and easy to follow, mode of feedback does not matter to me. "
114,Smart Phone_Q11_feat3,0.0,Which of the following design components on your Smart Phone help you to develop an intuition before you decide how to complete this task,As the device does not have a screen it provides me relevant information through voice-based instructions  
115,Smart Phone_Q11_feat5,0.0,Which of the following design components on your Smart Phone help you to develop an intuition before you decide how to complete this task,I do not need the device to help me in deciding the best way to perform a task or is not provided by the device  
116,Smart Phone_Q12_feat2,0.0,Which of these maintenance features in Smart Phone affect you as you perform this task on it,Need of updating any software while/before performing the task  
117,Smart Phone_Q12_feat3,0.0,Which of these maintenance features in Smart Phone affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. 
