,features,Question,Answer option,Importance
31,Q11_feat1,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Presentation of information is in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used )  ",0.002836411
32,Q13_feat2,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  ",0.002761051
33,Q3_feat2,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.,0.002744097
34,Q5_feat1,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,It should be able to execute the task without any errors   ,0.002648826
35,Desktop Computer_Q2_feat2,"How do you multitask (i.e.,use other functionalities) on Desktop Computer while executing this task?",I use/view another application using voice-based input ,0.002452844
36,Desktop Computer_Q8_feat1,What level of personalized communication does your Desktop Computer provide while performing this task?,The device communicates with me through informal/human-like responses or notifications,0.002432821
37,Desktop Computer_Q9_feat1,How does your Desktop Computer help you understand the features that you use to perform this task,Through a tooltip that explains the functionality of a widget on the device.,0.002432821
38,Desktop Computer_Q10_feat4,How does Desktop Computer provide feedback or respond to your actions as you execute the task,Notifications/Reminders on other synced/connected devices  ,0.002432821
39,Desktop Computer_Q13_feat2,Which of the additional artifacts do you connect/download on your Desktop Computer,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  ",0.002413042
40,Desktop Computer_Q12_feat3,Which of these maintenance features in Desktop Computer affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. ,0.002393114
41,Q8_feat2,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Customizability of features based on current context and past interactions (e.g., sorting notifications by relevance)   ",0.002246934
42,Q12_feat1,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?</,Amount of battery life and impact of performing the task on battery life   ,0.002228723
43,Q9_feat6,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,The level of assistance provided by a  device to help me understand its features while I am executing this task does not matter. ,0.002121725
44,Q6_feat1,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Only at the beginning for providing first set of commands or information  ,0.002036856
45,Q1_feat7,Which of the following type of interactions would you like to use to perform this task?,The input modality does not matter to me  ,0.001909552
46,Q7_feat1,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,To be able to define who has access to my information  ,0.001859444
47,Q9_feat3,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   ,0.001755074
48,Q7_feat3,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,I should be able to control how device executes a task  ,0.001717587
49,Q10_feat1,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"Through lights, vibrations  ",0.001672374
50,Q1_feat4,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using physical keyboard ,0.001640493
51,Q2_feat3,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",The modality of input (text- or voice-based) does not matter as long as I am able to use another application  ,0.001543004
52,Q3_feat1,Which aspects of any of the device(s) would make it easier for you to use them for this task?,It should be easy to find and understand the relevant features of the device(s) to complete the given task.  ,0.00152941
53,Q10_feat7,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,The way in which a device provides feedback or responds to my actions does not matter to me  for this task,0.001501317
54,Q1_feat1,Which of the following type of interactions would you like to use to perform this task?,Voice-based interaction  ,0.001358142
55,Q1_feat2,Which of the following type of interactions would you like to use to perform this task?,"Touch-based interaction (e.g, through scrolling, tapping)  ",0.001273035
56,Q3_feat6,Which aspects of any of the device(s) would make it easier for you to use them for this task?,Ease of use does not hold any relevance for me with respect to this task  ,0.001273035
57,Q6_feat3,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should give me option of providing or changing any information through the entire execution of the task.  ,0.00116397
58,Q11_feat2,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Icons, buttons and other tools should be designed in such a way that I can easily understand their purpose and how to use them",0.001026915
59,Q13_feat4,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,The ability to connect/download an additional things does not matter to me  for this task.,0.000913746
60,Q6_feat2,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should prompt me for providing more information when instructions are unclear or missing.  ,0.00084869
61,Relationship_3,Scenario relation,weak ties,0.000763821
62,Q3_feat4,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should be able to provide any task related information as an audio response. ,0.000755394
63,Q6_feat4,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,When a device gives an option of providing or changing any task related information is not relevant while performing this task  ,0.000605056
64,Q10_feat2,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through audio/voice based notifications/responses   ,0.000583861
65,Q7_feat5,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,Building trust is not essential for me while performing this task on any device  ,0.00055771
66,Q8_feat1,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Device(s) should be able to communicate with me through informal/human-like responses or notifications  ,0.000520798
67,Q2_feat5,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",I would not like to multitask while performing this tas,0.000511073
68,Q9_feat2,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,An interactive help/search menu that can answer my questions about the features of the device as I use them   ,0.000399812
69,Q9_feat1,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A tooltip that explains the functionality of a widget on the device  ,0.000318259
70,Q9_feat4,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A voice assistant that can help me in understanding how to use appropriate features to perform the task  ,0.000297041
71,Q12_feat2,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Need and effect of any software updates while/before performing the task  ,0.000250222
72,Q3_feat3,Which aspects of any of the device(s) would make it easier for you to use them for this task?,"The device(s) should be able to display any task related information (e.g, response) on a screen  ",0.000165224
73,Q7_feat2,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,"To be able to control where my personal information is stored (e.g., solely on the device(s))",0.000136973
74,Q12_feat5,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,vThe maintenance features do not matter to me  for this task.,9.52E-05
75,Relationship_2,Scenario relation,strong ties,8.08E-05
76,Q10_feat6,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"As long as feedback is unambiguous and easy to follow, mode of feedback does not matter to me.   ",3.27E-05
77,Q11_feat3,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"In case of no screen, the device(s) should provide me needed information as voice-based instructions",2.06E-05
78,Q2_feat1,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through touch-based input   ,0
79,Q2_feat2,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through voice-based input ,0
80,Q5_feat2,";""> What level of accuracy do you expect any of the device(s) to achieve for executing this task?",The device(s) can make errors sometimes  ,0
81,Q5_feat4,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,"The device(s) can make some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command) ",0
82,Q5_feat6,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,Level of accuracy does not matter to me while performing this task  ,0
83,Q8_feat5,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Personalization or customizability  is not essential for me performing this task on any device,0
84,Desktop Computer_Q1_feat1,Which of the following type of interactions do you use while executing a command on Desktop Computer,Voice-based interaction  ,0
85,Desktop Computer_Q1_feat3,Which of the following type of interactions do you use while executing a command on Desktop Computer,Text-based interaction with a digital pen/Stylus  ,0
86,Desktop Computer_Q1_feat5,Which of the following type of interactions do you use while executing a command on Desktop Computer,Text-based interaction using virtual/digital keyboard on a screen  ,0
87,Desktop Computer_Q1_feat7,Which of the following type of interactions do you use while executing a command on Desktop Computer?,The input modality does not matter to me or is not provided by the device  ,0
88,Desktop Computer_Q2_feat3,"How do you multitask (i.e.,use other functionalities) on Desktop Computer while executing this task?","The modality of input (text- or voice-based) does not matter, as I am able to use another application simultaneously  ",0
89,Desktop Computer_Q2_feat5,"How do you multitask (i.e.,use other functionalities) on Desktop Computer while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  ,0
90,Desktop Computer_Q3_feat1,Which  aspects of Desktop Computer makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.,0
91,Desktop Computer_Q3_feat2,Which  aspects of Desktop Computer makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,0
92,Desktop Computer_Q3_feat3,Which  aspects of Desktop Computer makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,0
93,Desktop Computer_Q3_feat4,Which  aspects of Desktop Computer makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  ,0
94,Desktop Computer_Q3_feat6,Which  aspects of Desktop Computer makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  ,0
95,Desktop Computer_Q4_feat1,Which aspects of mobility does Desktop Computer  provide as you perform this task?,I can move around while performing the task   ,0
96,Desktop Computer_Q4_feat3,Which aspects of mobility does Desktop Computer  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,0
97,Desktop Computer_Q5_feat2,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,The device(s) can make errors sometimes  ,0
98,Desktop Computer_Q5_feat3,What level of accuracy does your Desktop Computer provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  ",0
99,Desktop Computer_Q5_feat4,What level of accuracy does your Desktop Computer provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  ",0
100,Desktop Computer_Q5_feat6,What level of accuracy does your Desktop Computer provide when executing the task,Level of  accuracy does not matter to me while using this device for this task or is not provided by the device  ,0
101,Desktop Computer_Q6_feat1,When does your Desktop Computer give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task,0
102,Desktop Computer_Q6_feat2,When does your Desktop Computer give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.,0
103,Desktop Computer_Q6_feat4,When does your Desktop Computer give you an option of providing or changing any task related information to perform this task?,Having such options from the device while performing are not essential to me while using this device or is not provided by the device.  ,0
104,Desktop Computer_Q7_feat1,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop Computer?,It enables me to define who has access to my information,0
105,Desktop Computer_Q7_feat2,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop Computer?,"It enables me to control where my personal information is stored (e.g., solely on the device)",0
106,Desktop Computer_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop Computer?,Building trust is not essential for using this device for this task or is not provided by the device ,0
107,Desktop Computer_Q8_feat3,What level of personalized communication does your Desktop Computer provide while performing this task?,"Based on my current activities and surroundings it recommends additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task)",0
108,Desktop Computer_Q9_feat2,How does your Desktop Computerhelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them,0
109,Desktop Computer_Q9_feat4,How does your Desktop Computer help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task ,0
110,Desktop Computer_Q9_feat6,How does your Desktop Computer help you understand the features that you use to perform this task?  ,The assistance provided by the device to understand its features does not matter as I  use it for this task or is not provided by the device  ,0
111,Desktop Computer_Q10_feat1,How does Desktop Computer provide feedback or respond to your actions as you execute the task,"Through lights, vibrations   ",0
112,Desktop Computer_Q10_feat6,How does Desktop Computer provide feedback or respond to your actions as you execute the task?,"As the feedback provided by my device is unambiguous and easy to follow, mode of feedback does not matter to me. ",0
113,Desktop Computer_Q10_feat7,How does Desktop Computer provide feedback or respond to your actions as you execute the task?,The way in which this device provides feedback or responds to my actions does not affect the way I use it  for this task or is not provided by the device  ,0
114,Desktop Computer_Q11_feat3,Which of the following design components on your Desktop Computer help you to develop an intuition before you decide how to complete this task,As the device does not have a screen it provides me relevant information through voice-based instructions  ,0
115,Desktop Computer_Q11_feat5,Which of the following design components on your Desktop Computer help you to develop an intuition before you decide how to complete this task,I do not need the device to help me in deciding the best way to perform a task or is not provided by the device  ,0
116,Desktop Computer_Q12_feat2,Which of these maintenance features in Desktop Computer affect you as you perform this task on it,Need of updating any software while/before performing the task  ,0
117,location_2,Scenario location,"Semi private places (resturants, coffee shop etc)",0
